[CODECSTATS]
CodecsTotal=370
CodecsVer=0.7.0

[#EVENT/#THIS/IDCODECS]
roq	---	---	DEA D 	roq_dpcm	unregistered	Y	id RoQ DPCM
roq	---	---	DEV D 	roqvideo	unregistered	Y	id RoQ video
mov	---	---	D V D 	rpza	unregistered	Y	QuickTime video (RPZA)
rm	---	---	DEV D 	rv10	unregistered	Y	RealVideo 1.0
rm	---	---	DEV D 	rv20	unregistered	Y	RealVideo 2.0
rm	---	---	D V D 	rv30	unregistered	Y	RealVideo 3.0
rm	---	---	D V D 	rv40	unregistered	Y	RealVideo 4.0
---	---	---	D A D 	s302m	unregistered	Y	SMPTE 302M
---	---	---	D S   	sami	unregistered	Y	SAMI subtitle
---	---	---	D V D 	sanm	unregistered	Y	LucasArts SMUSH video
---	---	---	DEV   	sgi	unregistered	Y	SGI image
shn	---	---	D A D 	shorten	unregistered	Y	Shorten
---	---	---	D A D 	sipr	unregistered	Y	RealAudio SIPR / ACELP.NET
smk	---	---	D A D 	smackaud	unregistered	Y	Smacker audio
smk	---	---	D V D 	smackvid	unregistered	Y	Smacker video
---	---	---	D V D 	smc	unregistered	Y	QuickTime Graphics (SMC)
---	---	---	DEV D 	snow	unregistered	Y	Snow
---	---	---	D A D 	sol_dpcm	unregistered	Y	DPCM Sol
---	---	---	DEA D 	sonic	unregistered	Y	Sonic
---	---	---	 EA   	sonicls	unregistered	Y	Sonic lossless
---	---	---	D V D 	sp5x	unregistered	Y	Sunplus JPEG (SP5X)
srt	---	---	DES   	srt	unregistered	Y	SubRip subtitle
---	---	---	DES   	subrip	unregistered	Y	SubRip subtitle
---	---	---	D S   	subviewer	unregistered	Y	SubViewer subtitle
sun	---	---	DEV D 	sunrast	unregistered	Y	Sun Rasterfile image
---	---	---	DEV D 	svq1	unregistered	Y	Sorenson Vector Quantizer 1
---	---	---	D VSD 	svq3	unregistered	Y	Sorenson Vector Quantizer 3
tga	---	---	DEV D 	targa	unregistered	Y	Truevision Targa image
ogv	---	ogm	D VSD 	theora	unregistered	N	Theora
---	---	---	D V D 	thp	unregistered	Y	Nintendo Gamecube THP video
---	---	---	D V D 	tiertexseqvideo	unregistered	Y	Tiertex Limited SEQ video
tif	---	---	DEV D 	tiff	unregistered	Y	TIFF image
---	---	---	D V D 	tmv	unregistered	Y	8088flex TMV
---	---	---	D A D 	truehd	unregistered	Y	TrueHD
---	---	---	D V D 	truemotion1	unregistered	Y	Duck TrueMotion 1.0
---	---	---	D V D 	truemotion2	unregistered	Y	Duck TrueMotion 2.0
---	---	---	D A D 	truespeech	unregistered	Y	DSP Group TrueSpeech
---	---	---	D V D 	tscc2	unregistered	Y	TechSmith Screen Codec 2
tta	---	---	D A D 	tta	unregistered	Y	True Audio (TTA)
---	---	---	D A D 	twinvq	unregistered	Y	VQF TwinVQ
---	---	---	D V D 	txd	unregistered	Y	Renderware TXD (TeXture Dictionary) image
---	---	---	D V D 	ultimotion	unregistered	Y	IBM UltiMotion
---	---	---	DEV D 	utvideo	unregistered	Y	Ut Video
---	---	---	DEV D 	v210	unregistered	Y	Uncompressed 4:2:2 10-bit
---	---	---	D V D 	v210x	unregistered	Y	---
---	---	---	DEV D 	v308	unregistered	Y	Uncompressed packed 4:4:4
---	---	---	DEV D 	v408	unregistered	Y	Uncompressed packed QT 4:4:4:4
---	---	---	DEV D 	v410	unregistered	Y	Uncompressed 4:4:4 10-bit
---	---	---	D V   	vb	unregistered	Y	Beam Software VB
---	---	---	D V D 	vble	unregistered	Y	VBLE Lossless Codec
---	---	---	D V D 	vc1	unregistered	Y	SMPTE VC-1
---	---	---	D V D 	vc1image	unregistered	Y	Windows Media Video 9 Image v2
---	---	---	D V D 	vcr1	unregistered	Y	ATI VCR1
---	---	---	D A D 	vima	unregistered	Y	LucasArts VIMA audio
---	---	---	D A D 	vmdaudio	unregistered	Y	Sierra VMD audio
---	---	---	D V D 	vmdvideo	unregistered	Y	Sierra VMD video
---	---	---	D V D 	vmnc	unregistered	Y	VMware Screen Codec / VMware Video
ogg	---	---	DEA D 	vorbis	vorbis (libav)	Y	Vorbis
---	---	---	D VSD 	vp3	unregistered	Y	On2 VP3
---	---	---	D V D 	vp5	unregistered	Y	On2 VP5
flv	---	---	D V D 	vp6	unregistered	Y	On2 VP6
flv	---	---	D V D 	vp6a	unregistered	Y	On2 VP6 (Flash version, with alpha channel)
flv	---	---	D V D 	vp6f	unregistered	Y	On2 VP6 (Flash version)
---	---	---	D V D 	vp8	unregistered	Y	On2 VP8
---	---	---	D V D 	vqavideo	unregistered	Y	Westwood Studios VQA (Vector Quantized Animation) video
---	---	---	D A D 	wavesynth	unregistered	Y	Wave synthesis pseudo-codec
wav	---	---	D A D 	wavpack	unregistered	Y	WavPack
---	---	---	D A D 	wmalossless	unregistered	Y	Windows Media Audio 9 Lossless
wma	---	---	D A D 	wmapro	unregistered	Y	Windows Media Audio 9 Professional
wma	---	---	DEA D 	wmav1	unregistered	Y	Windows Media Audio 1
wma	---	---	DEA D 	wmav2	WMA-2	Y	Windows Media Audio 2
---	---	---	D A D 	wmavoice	unregistered	Y	Windows Media Audio Voice
wmv	---	---	DEVSD 	wmv1	unregistered	Y	Windows Media Video 7
wmv	---	---	DEVSD 	wmv2	WMV-8	Y	Windows Media Video 8
wmv	---	---	D V D 	wmv3	unregistered	Y	Windows Media Video 9
